"Title","NW_Title","ND_Title","NW_Plot","ND_Plot"
"Animal Farm","2","11","824","4972"
"A Clockwork Orange (novel)","4","26","1080","6525"
"The Plague","2","10","1162","6913"
"Actaeon","1","7","580","3504"
"A Fire Upon the Deep","5","20","611","3793"
"All Quiet on the Western Front","6","30","886","5002"
"Anyone Can Whistle","3","18","1328","7491"
"A Funny Thing Happened on the Way to the Forum","10","46","987","5793"
"Army of Darkness","3","16","609","3444"
"The Birth of a Nation","5","21","959","5801"
"Blade Runner","2","12","686","4187"
"Blazing Saddles","2","15","543","3352"
"Blue Velvet (film)","3","18","994","6058"
"Blade Runner 2: The Edge of Human","7","33","292","1788"
"Barry Lyndon","2","12","1385","8291"
"Buffy the Vampire Slayer (film)","5","31","751","4379"
"The Big O","3","9","641","3963"
"Braveheart","1","10","620","3783"
"Bank of China Tower (Hong Kong)","6","31","280","1613"
"Batman (1989 film)","3","18","662","4006"
"Batman (1966 film)","3","18","546","3326"
"Batman Returns","2","14","845","5305"
"Batman &amp; Robin (film)","4","25","506","2937"
"Batman Forever","2","14","672","3977"
"Batman: Year One","3","16","820","5005"
"Bubblegum Crisis","2","16","136","851"
"Babylon 5","2","9","3034","18675"
"Bildungsroman","1","13","249","1588"
"Bride of the Monster","4","20","1214","7334"
"Citizen Kane","2","12","558","3432"
"Crouching Tiger, Hidden Dragon","4","30","887","4824"
"Chariots of Fire","3","16","640","3902"
"Crash (J. G. Ballard novel)","5","27","106","658"
"Castle of the Winds","4","19","293","1801"
"Chrono Trigger","2","14","1466","8491"
"Chapterhouse: Dune","2","18","1129","6919"
"Carmilla","1","8","995","5980"
"Cowboy Bebop","2","12","376","2263"
"Carousel (musical)","2","18","1279","7344"
"The Cider House Rules","4","21","553","3225"
"Chrono Cross","2","12","1624","9853"
"Vladimir Harkonnen","2","18","1362","8466"
"Destry Rides Again","3","18","213","1267"
"Dracula","1","7","1589","9729"
"Day of the Tentacle","4","19","603","3625"
"Doraemon","1","8","152","896"
"Dressed to Kill (1980 film)","5","27","599","3566"
"Doom (1993 video game)","4","22","543","3351"
"Diablo II","2","9","312","1836"
"Dune Messiah","2","12","996","6025"
"Duke Nukem 3D","3","13","705","4177"
"Dr. Strangelove","2","15","753","4614"
"Das Boot","2","8","736","4356"
"Death of a Hero","4","15","383","2178"
"The Evil Dead","3","13","693","3926"
"Young and Innocent","3","18","654","3767"
"Escape from New York","4","20","794","4620"
"Eyes Wide Shut","3","14","828","4623"
"Edward de Vere, 17th Earl of Oxford","7","35","1664","9746"
"Enter the Dragon","3","16","384","2316"
"Evil Dead II","3","12","662","3762"
"The Trial","2","9","1336","7530"
"The Metamorphosis","2","17","1041","6019"
"Fahrenheit 451","2","14","1524","8994"
